BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-08-29,КАМАЗ БОП9,RU000A1043N3,12.0,91820.4,101.86,102.11,101.86,101.86,1.34,102.02,8.4,101.98,90.0,,101.98,101.86,0.0,531301.8,0.0,2023-11-22,429.0,8.25,,,9.75,24.31,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,БинФарм1P1,RU000A1043Z7,86.0,703602.7,99.7,100.98,100.67,100.67,1.36,100.09,9.65,99.99,703.0,100.09,100.09,100.67,703602.7,703602.7,703602.7,2036-11-05,429.0,10.19,,,9.9,24.68,2023-11-22,2022-08-29,1000.0,SUR,,9.5189,,2023-11-27,RUB,3
TQCB,2022-08-29,СберИОС495,RU000A1044Y8,3.0,19686.1,63.5,63.6,63.6,63.6,,63.5,,63.51,31.0,,66.65,63.6,0.0,1120309.2,0.0,2026-12-11,,0.0,,,0.01,0.1,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ВТБ Б1-278,RU000A104578,1.0,777.6,77.76,77.76,77.76,77.76,0.02,77.76,11.32,77.76,1.0,,77.0,77.76,0.0,3090110.0,0.0,2025-01-03,858.0,11.32,,,0.01,0.05,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQIR,2022-08-29,ЭБИС Б1P05,RU000A1045V1,314.0,1069561.9,37.0,40.97,39.6,39.6,35.75,39.47,107.41,38.5,2710.0,39.47,39.47,39.6,1069561.9,1069561.9,1069561.9,2025-11-25,454.0,107.91,,,14.5,36.15,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,Систем1P23,RU000A104693,56.0,231931.4,100.9,103.88,102.59,102.59,23.72,102.17,9.39,102.38,227.0,,102.01,102.59,0.0,535530.2,0.0,2031-11-21,1072.0,9.54,,,9.95,24.81,2026-02-27,2022-08-29,1000.0,SUR,,9.3519,,2026-03-04,RUB,3
TQCB,2022-08-29,ВТБ Б1-252,RU000A1046G0,25.0,74107.3,100.1,100.2,100.1,100.1,19.79,100.15,8.47,100.2,74.0,,100.05,100.1,0.0,789398.8,0.0,2022-12-05,96.0,8.26,,,8.6,21.44,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,АБЗ-1 1Р02,RU000A1046N6,146.0,1496074.9,97.0,97.5,97.18,97.18,28.99,97.08,15.01,97.15,1541.0,97.08,97.08,97.18,1496074.9,1496074.9,1496074.9,2024-12-03,708.0,15.07,,,12.75,31.79,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,Пионер 1P6,RU000A104735,46.0,191748.3,92.88,93.15,93.01,93.01,26.08,93.08,15.6,93.14,206.0,,93.13,93.01,0.0,773935.6,0.0,2025-12-04,878.0,15.57,,,11.75,29.29,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ПКБ 1Р-03,RU000A1047S3,14.0,65685.5,97.64,98.37,98.36,98.35,26.85,98.04,13.81,98.37,67.0,,97.71,98.35,0.0,500267.3,0.0,2025-12-05,672.0,14.01,,,12.25,30.54,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQRD,2022-08-29,ОРГрупп2Р3,RU000A1047Z8,9.0,23543.0,19.27,21.4,19.27,19.27,8.33,21.21,,21.3,111.0,,20.2,19.27,0.0,500790.9,0.0,2025-11-22,,0.0,,,16.0,13.15,,2022-08-29,1000.0,SUR,,,,2025-11-22,RUB,3
TQCB,2022-08-29,Брус 2P01,RU000A1048A9,114.0,4755998.7,98.8,99.2,98.91,98.91,24.67,96.75,12.96,99.04,4803.0,99.02,99.02,98.91,4755998.7,4755998.7,4755998.7,2025-06-10,755.0,14.15,,,11.85,29.54,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,РСХБ2Р11,RU000A104925,22.0,92882.4,99.76,100.2,100.2,100.2,19.46,99.87,9.51,99.76,93.0,,100.7,100.2,0.0,795541.0,0.0,2024-12-12,282.0,9.98,,,9.6,47.87,2023-06-15,2022-08-29,1000.0,SUR,,9.3518,,2023-06-19,RUB,3
TQCB,2022-08-29,АЛЬФАБ2Р16,RU000A1049K6,42.0,699573.0,100.61,101.75,100.71,100.71,19.1,101.39,8.76,101.75,690.0,101.39,101.39,100.71,699573.0,699573.0,699573.0,2023-06-18,285.0,7.84,,,9.55,47.88,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ИнкабБО01,RU000A1049M2,99.0,611550.9,97.1,98.49,98.22,98.22,22.56,98.16,16.78,98.01,623.0,98.16,98.16,98.22,611550.9,611550.9,611550.9,2024-12-25,285.0,16.87,,,13.5,33.66,2023-06-28,2022-08-29,1000.0,SUR,,16.3425,,2023-07-05,RUB,3
TQCB,2022-08-29,ГЛАВТОРГ01,RU000A1049P5,205.0,672988.8,36.81,37.27,36.88,36.88,29.4,37.04,96.21,37.22,1817.0,37.04,37.04,36.88,672988.8,672988.8,672988.8,2024-12-12,591.0,95.73,,,14.5,36.15,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,КЛС БО-01,RU000A104A05,10.0,85253.6,92.88,94.99,93.97,93.97,27.37,94.73,16.37,94.99,90.0,,93.6,93.97,0.0,506378.5,0.0,2026-12-10,1168.0,16.08,,,13.5,33.66,,2022-08-29,1000.0,SUR,,,,,RUB,3
