BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQTF,2022-10-14,SBCS ETF,SBCS,309.0,272510.69,11.214,11.157,11.214,11.19,11.181,11.196,24372.0,,11.188,11.19,0.0,503956.27,0.0,441292.05,3
SMAL,2022-10-14,Сбербанк,SBER,39.0,9384.89,117.77,104.33,117.77,,107.14,108.28,88.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Сбербанк,SBER,104933.0,5631814421.3,106.92,105.69,109.19,107.68,107.14,107.78,52565400.0,107.09,107.09,107.68,5140104050.1,5140104050.1,5140104050.1,0.0,3
SMAL,2022-10-14,Сбербанк-п,SBERP,8.0,1570.85,102.5,102.02,112.99,,103.29,104.0,15.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Сбербанк-п,SBERP,16728.0,509492132.1,102.93,102.0,104.56,104.2,103.29,103.73,4932490.0,103.27,103.27,104.2,477800546.8,477800546.8,477800546.8,0.0,3
TQTF,2022-10-14,SBGB ETF,SBGB,635.0,5344646.77,12.15,11.914,12.15,11.996,11.919,11.996,445754.0,11.99,11.99,11.996,5344646.77,5344646.77,5344646.77,11530194.38,3
TQTF,2022-10-14,SBGD ETF,SBGD,478.0,3877496.45,10.431,10.05,10.599,10.318,10.362,10.31,374192.0,10.362,10.362,10.318,3877496.45,3877496.45,3877496.45,1807067.64,3
TQTF,2022-10-14,SBHI ETF,SBHI,318.0,233586.76,5.108,5.01,5.108,5.046,5.054,5.048,46226.0,,5.08,5.046,0.0,501665.13,0.0,1209602.08,3
TQTF,2022-10-14,SBMM ETF,SBMM,241.0,3301838.42,11.076,11.072,11.081,11.081,11.079,11.081,297994.0,11.08,11.08,11.081,3301838.42,3301838.42,3301838.42,5366147.89,3
TQTF,2022-10-14,SBMX ETF,SBMX,2020.0,9096520.03,10.481,10.349,10.56,10.465,10.413,10.468,871099.0,10.443,10.443,10.465,9096520.03,9096520.03,9096520.03,61075809.12,3
